customerID,InvoiceDate,DueDate,SettledDate,DaysToSettle,DaysLate,First invoice,Late,On-Time,Train/Test 30%,Train/Test 3 months,Age Bucket,Invoiced Month,InvoiceAmount,Invoice Due Month,Gap between current and previous invoice due date,Average Amount of PAID,Average of Amount of LATE PAID,Average Days Late,Average Days to Settle,Ratio Of Amount of Paid Invoices Bucket(0) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(1) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(2) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(3) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(4) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(5) by Total Amount of Paid Invoices,Ratio Of number of Paid Invoices Bucket(0) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(1) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(2) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(3) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(4) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(5) by Total number of Paid Invoices
0187-ERLSR,2012/03/29,2012/04/28,2012/04/25,27,0,TRUE,FALSE,TRUE,Train,Train,0,3,62.68,4,0,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/05/15,2012/06/14,2012/05/28,13,0,FALSE,FALSE,TRUE,Train,Train,0,5,77.19,6,47,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/05/21,2012/06/20,2012/06/04,14,0,FALSE,FALSE,TRUE,Train,Train,0,5,51.65,6,6,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/06/16,2012/07/16,2012/07/04,18,0,FALSE,FALSE,TRUE,Train,Train,0,6,64.47,7,26,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/09/05,2012/10/05,2012/09/14,9,0,FALSE,FALSE,TRUE,Train,Train,0,9,84.57,10,81,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/09/22,2012/10/22,2012/10/11,19,0,FALSE,FALSE,TRUE,Train,Train,0,9,65.26,10,17,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2012/12/06,2013/01/05,2012/12/19,13,0,FALSE,FALSE,TRUE,Train,Train,0,12,59,1,75,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/02/16,2013/03/18,2013/03/02,14,0,FALSE,FALSE,TRUE,Train,Train,0,2,56.5,3,72,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/03/04,2013/04/03,2013/03/11,7,0,FALSE,FALSE,TRUE,Train,Train,0,3,31.72,4,16,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/03/16,2013/04/15,2013/04/04,19,0,FALSE,FALSE,TRUE,Train,Train,0,3,73.27,4,12,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/03/22,2013/04/21,2013/03/27,5,0,FALSE,FALSE,TRUE,Train,Train,0,3,86.92,4,6,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/05/07,2013/06/06,2013/05/15,8,0,FALSE,FALSE,TRUE,Test,Train,0,5,79.87,6,46,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
