customerID,InvoiceDate,DueDate,SettledDate,DaysToSettle,DaysLate,First invoice,Late,On-Time,Train/Test,Age Bucket,Invoiced Month,InvoiceAmount,Invoice Due Month,Gap between current and previous invoice due date,Average Amount of PAID,Average of Amount of LATE PAID,Average Days Late,Average Days to Settle,Ratio Of Amount of Paid Invoices Bucket(0) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(1) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(2) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(3) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(4) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(5) by Total Amount of Paid Invoices,Ratio Of number of Paid Invoices Bucket(0) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(1) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(2) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(3) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(4) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(5) by Total number of Paid Invoices
0187-ERLSR,3/29/2012,4/28/2012,4/25/2012,27,0,TRUE,FALSE,TRUE,Train,0,3,62.68,4,0,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,5/15/2012,6/14/2012,5/28/2012,13,0,FALSE,FALSE,TRUE,Train,0,5,77.19,6,47,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,5/21/2012,6/20/2012,6/4/2012,14,0,FALSE,FALSE,TRUE,Train,0,5,51.65,6,6,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,6/16/2012,7/16/2012,7/4/2012,18,0,FALSE,FALSE,TRUE,Train,0,6,64.47,7,26,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,9/5/2012,10/5/2012,9/14/2012,9,0,FALSE,FALSE,TRUE,Train,0,9,84.57,10,81,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,9/22/2012,10/22/2012,10/11/2012,19,0,FALSE,FALSE,TRUE,Train,0,9,65.26,10,17,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,12/6/2012,1/5/2013,12/19/2012,13,0,FALSE,FALSE,TRUE,Train,0,12,59,1,75,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2/16/2013,3/18/2013,3/2/2013,14,0,FALSE,FALSE,TRUE,Train,0,2,56.5,3,72,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,3/4/2013,4/3/2013,3/11/2013,7,0,FALSE,FALSE,TRUE,Train,0,3,31.72,4,16,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,3/16/2013,4/15/2013,4/4/2013,19,0,FALSE,FALSE,TRUE,Train,0,3,73.27,4,12,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,3/22/2013,4/21/2013,3/27/2013,5,0,FALSE,FALSE,TRUE,Train,0,3,86.92,4,6,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0379-NEVHP,2/12/2012,3/13/2012,2/28/2012,16,0,TRUE,FALSE,TRUE,Train,0,2,28.21,3,0,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,3/1/2012,3/31/2012,4/17/2012,47,17,FALSE,TRUE,FALSE,Train,3,3,48.65,3,18,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,3/20/2012,4/19/2012,4/8/2012,19,0,FALSE,FALSE,TRUE,Train,0,3,103.64,4,19,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,7/1/2012,7/31/2012,7/17/2012,16,0,FALSE,FALSE,TRUE,Train,0,7,42.25,7,103,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,9/1/2012,10/1/2012,9/23/2012,22,0,FALSE,FALSE,TRUE,Train,0,9,69.55,10,62,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,9/10/2012,10/10/2012,9/28/2012,18,0,FALSE,FALSE,TRUE,Train,0,9,72.97,10,9,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,10/24/2012,11/23/2012,11/6/2012,13,0,FALSE,FALSE,TRUE,Train,0,10,50.7,11,44,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,10/28/2012,11/27/2012,11/19/2012,22,0,FALSE,FALSE,TRUE,Train,0,10,76.81,11,4,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,12/3/2012,1/2/2013,12/19/2012,16,0,FALSE,FALSE,TRUE,Train,0,12,52.47,1,36,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,1/2/2013,2/1/2013,1/15/2013,13,0,FALSE,FALSE,TRUE,Train,0,1,55.94,2,30,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,1/5/2013,2/4/2013,1/26/2013,21,0,FALSE,FALSE,TRUE,Train,0,1,61.11,2,3,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,1/9/2013,2/8/2013,1/27/2013,18,0,FALSE,FALSE,TRUE,Train,0,1,34.41,2,4,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,1/25/2013,2/24/2013,2/11/2013,17,0,FALSE,FALSE,TRUE,Train,0,1,33.23,2,16,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2/14/2013,3/16/2013,3/3/2013,17,0,FALSE,FALSE,TRUE,Train,0,2,55.21,3,20,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2/17/2013,3/19/2013,3/11/2013,22,0,FALSE,FALSE,TRUE,Train,0,2,79.25,3,3,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,4/3/2013,5/3/2013,4/19/2013,16,0,FALSE,FALSE,TRUE,Train,0,4,74.34,5,45,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,5/17/2013,6/16/2013,6/12/2013,26,0,FALSE,FALSE,TRUE,Train,0,5,78.57,6,44,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,5/29/2013,6/28/2013,6/6/2013,8,0,FALSE,FALSE,TRUE,Train,0,5,68.49,6,12,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,6/5/2013,7/5/2013,6/19/2013,14,0,FALSE,FALSE,TRUE,Train,0,6,57.04,7,7,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0465-DTULQ,1/4/2012,2/3/2012,2/4/2012,31,1,TRUE,TRUE,FALSE,Train,1,1,55.91,2,0,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
